Species	ID	std_length	style	25p_1x	25p_1y	25p_1z	25p_2x	25p_2y	25p_2z	25p_3x	25p_3y	25p_3z	25p_4x	25p_4y	25p_4z	25p_5x	25p_5y	25p_5z	25p_6x	25p_6y	25p_6z	50p_1x	50p_1y	50p_1z	50p_2x	50p_2y	50p_2z	50p_3x	50p_3y	50p_3z	50p_4x	50p_4y	50p_4z	50p_5x	50p_5y	50p_5z	50p_6x	50p_6y	50p_6z	75p_1x	75p_1y	75p_1z	75p_2x	75p_2y	75p_2z	75p_3x	75p_3y	75p_3z	75p_4x	75p_4y	75p_4z	75p_5x	75p_5y	75p_5z	75p_6x	75p_6y	75p_6z
Awaous stamineus	17_458	59.1	Powerburst	-0.257671	-9.01856	17.5335	-0.257671	-9.50797	15.1827	-0.257671	-10.5911	15.3913	-0.257671	-9.46785	16.314	-0.257671	-9.98935	16.4183	-0.257671	-9.56413	15.0784	-1.09619	-7.91887	33.7593	-0.881711	-7.91887	31.7623	-1.91427	-7.91887	31.6251	-1.3096	-7.91887	32.7633	-1.70321	-7.91887	32.6984	-0.823496	-7.91887	31.5303	-3.10281	-6.1878	46.2085	-2.77946	-6.1878	44.3439	-3.77105	-6.1878	44.193	-3.22137	-6.1878	45.2924	-3.5986	-6.1878	45.2708	-2.72557	-6.1878	44.1822
Awaous stamineus	17_459	66.2	Powerburst	-7.06299	-6.11267	24.3932	-7.00999	-6.11267	22.9004	-7.61064	-6.11267	22.8121	-7.20432	-6.11267	23.6247	-7.51348	-6.11267	23.6159	-6.93933	-6.11267	22.7679	-6.66074	-6.76929	33.6249	-6.85658	-6.76929	32.1862	-7.53448	-6.76929	32.254	-6.93943	-6.76929	32.8792	-7.24072	-6.76929	32.9169	-6.84905	-6.76929	32.0205	-4.45496	-6.82898	43.8052	-4.79161	-6.82898	42.5213	-5.51189	-6.82898	42.6778	-4.8699	-6.82898	43.2415	-5.12043	-6.82898	43.3042	-4.8151	-6.82898	42.3725
Awaous stamineus	17_460	74.9	Powerburst	-8.62815	-14.6944	30.6287	-8.667	-14.6944	28.3367	-9.54105	-14.6944	28.2882	-8.89037	-14.6944	29.3662	-9.36624	-14.6944	29.3564	-8.62815	-14.6944	28.1522	-10.2461	-13.1126	46.5895	-9.97826	-13.1126	44.6344	-10.9826	-13.1126	44.4469	-10.4202	-13.1126	45.6253	-10.8085	-13.1126	45.5852	-9.88453	-13.1126	44.38	-12.2081	-11.2025	58.7972	-11.9065	-11.2025	56.9776	-12.8615	-11.2025	56.7967	-12.3488	-11.2025	57.9025	-12.6806	-11.2025	57.8422	-11.8763	-11.2025	56.7766
Eleotris sandwicensis	17_533	53.6	Non-climbing	-6.68901	-11.3836	56.9387	-6.35014	-11.3836	58.5276	-5.64981	-11.3836	58.3469	-6.31249	-11.3836	57.8273	-5.95856	-11.3836	57.7972	-6.31249	-11.3836	58.6406	-10.8907	-12.9302	47.9351	-10.3387	-12.9302	49.2993	-9.55022	-12.9302	48.9523	-10.3545	-12.9302	48.5581	-10.0233	-12.9302	48.4398	-10.2599	-12.9302	49.4097	-13.114	-14.334	39.1924	-13.114	-14.2058	40.6177	-13.114	-13.5045	40.5422	-13.114	-14.0851	39.9239	-13.114	-13.7684	39.8937	-13.114	-14.1681	40.7383
Eleotris sandwicensis	17_534	37	Non-climbing	-6.42461	-5.21831	22.8578	-6.42461	-4.95864	23.7427	-6.42461	-4.52941	23.6473	-6.42461	-4.94805	23.3241	-6.42461	-4.72018	23.2923	-6.42461	-4.95334	23.8487	-5.92723	-7.73418	17.4922	-5.92723	-7.37486	18.2467	-5.92723	-6.93341	18.0773	-5.92723	-7.44159	17.8053	-5.92723	-7.20547	17.7694	-5.92723	-7.3184	18.3289	-5.16145	-10.0099	12.767	-5.16145	-9.73988	13.4709	-5.16145	-9.29146	13.2781	-5.16145	-9.76399	13.0514	-5.16145	-9.5663	12.9936	-5.16145	-9.69648	13.5529
Eleotris sandwicensis	17_535	68.5	Non-climbing	-5.00952	-10.4517	38.4464	-5.00952	-10.3982	40.3458	-5.00952	-9.45293	40.2745	-5.00952	-10.2377	39.5165	-5.00952	-9.72937	39.5076	-5.00952	-10.3803	40.4528	-4.4126	-10.4685	27.0134	-4.4126	-10.3783	28.69	-4.4126	-9.35077	28.681	-4.4126	-10.135	27.9419	-4.4126	-9.72033	27.9148	-4.4126	-10.3693	28.7892	-4.20368	-11.2999	16.7338	-4.20368	-11.1475	18.3383	-4.20368	-10.2409	18.234	-4.20368	-10.971	17.5601	-4.20368	-10.618	17.528	-4.20368	-11.1394	18.4265
Lentipes concolor	lc_1	61.2	Powerburst	-6.48985	-10.6021	16.0495	-6.48985	-11.0278	14.3402	-6.48985	-11.7141	14.4355	-6.48985	-11.0024	15.1154	-6.48985	-11.3646	15.1853	-6.48985	-11.0024	14.2449	-5.29601	-8.77601	26.8593	-5.29601	-9.05264	25.2226	-5.29601	-9.73268	25.309	-5.29601	-9.12179	26.0064	-5.29601	-9.39842	26.0409	-5.29601	-9.04688	25.1131	-3.74402	-7.3277	36.0584	-3.74402	-7.55152	34.7994	-3.74402	-8.22996	34.8903	-3.74402	-7.67042	35.4708	-3.74402	-7.90823	35.5058	-3.74402	-7.58649	34.6875
Lentipes concolor	lc_2	54.7	Powerburst	-7.08698	6.17227	43.1676	-7.02137	6.17227	41.6587	-7.59722	6.17227	41.6077	-7.26192	6.17227	42.3148	-7.52432	6.17227	42.3075	-6.97035	6.17227	41.5713	-6.67775	6.97811	52.3601	-6.88276	6.97811	50.9685	-7.52887	6.97811	51.0555	-7.01944	6.97811	51.683	-7.25552	6.97811	51.6705	-6.89519	6.97811	50.8318	-4.45727	6.76919	62.6173	-4.79754	6.76919	61.3229	-5.49811	6.76919	61.4897	-4.87094	6.76919	62.0035	-5.10446	6.76919	62.0502	-4.8309	6.76919	61.1895
Lentipes concolor	lc_3	57	Powerburst	-5.42891	-14.3713	22.4358	-5.42891	-14.2368	20.5438	-5.42891	-14.8422	20.5186	-5.42891	-14.489	21.4099	-5.42891	-14.8086	21.3427	-5.42891	-14.1779	20.4513	-5.8766	-12.337	33.2836	-5.8766	-12.7643	31.902	-5.8766	-13.4337	32.0871	-5.8766	-12.7857	32.5999	-5.8766	-13.0064	32.6498	-5.8766	-12.7928	31.7239	-6.2049	-10.4225	38.6874	-6.2049	-10.8325	37.5127	-6.2049	-11.5026	37.8044	-6.2049	-10.8167	38.1828	-6.2049	-11.1084	38.2538	-6.2049	-10.9192	37.3787
Sicyopterus stimpsoni	17_446 	38.3	Inching	-5.35862	-8.43366	29.4419	-5.35862	-8.23946	30.5215	-5.35862	-7.83963	30.51	-5.35862	-8.27373	30.036	-5.35862	-8.0167	30.036	-5.35862	-8.23946	30.6414	-6.84864	-8.56128	22.397	-6.75126	-8.56128	23.2394	-6.2546	-8.56128	23.2297	-6.66848	-8.56128	22.7573	-6.44703	-8.56128	22.7592	-6.73665	-8.56128	23.327	-7.37783	-8.91943	16.9793	-7.33394	-8.91943	17.7838	-6.80249	-8.91943	17.7545	-7.22668	-8.91943	17.3986	-6.99264	-8.91943	17.3986	-7.30469	-8.91943	17.8618
